time,accX,accY,accZ,gyroX,gyroY,gyroZ,magx,magy,magz
0.83,-0.871,-0.519,-0.116,0.671,-10.437,16.357,0,0,0
0.84,-0.87,-0.511,-0.123,2.014,-6.042,12.878,0,0,0
0.85,-0.842,-0.5,-0.124,5.798,-3.845,8.057,0,0,0
0.86,-0.847,-0.504,-0.13,6.653,-4.211,3.601,0,0,0
0.87,-0.852,-0.493,-0.135,7.874,-3.357,0.488,0,0,0
0.88,-0.848,-0.498,-0.13,10.132,-1.404,-2.136,0,0,0
0.89,-0.841,-0.498,-0.128,10.559,-0.854,-3.601,0,0,0
0.9,-0.853,-0.501,-0.127,9.949,-0.61,-5.066,0,0,0
0.91,-0.849,-0.496,-0.121,10.01,0.793,-5.92,0,0,0
0.92,-0.845,-0.5,-0.113,10.559,1.892,-5.859,0,0,0
0.93,-0.839,-0.504,-0.106,9.644,1.77,-4.761,0,0,0
0.94,-0.839,-0.504,-0.103,7.935,0.671,-2.625,0,0,0
0.95,-0.843,-0.505,-0.099,7.629,0.854,0.488,0,0,0
0.96,-0.84,-0.514,-0.094,6.714,0.671,3.357,0,0,0
0.97,-0.846,-0.519,-0.09,5.066,0.061,4.761,0,0,0
0.98,-0.861,-0.521,-0.093,2.93,-0.916,6.165,0,0,0
0.99,-0.86,-0.52,-0.094,2.441,1.038,7.141,0,0,0
1,-0.846,-0.529,-0.085,1.648,0.977,7.385,0,0,0
1.01,-0.845,-0.529,-0.085,-0.549,0.305,8.24,0,0,0
1.02,-0.84,-0.527,-0.087,-2.136,0.671,9.46,0,0,0
1.03,-0.838,-0.538,-0.082,-3.601,0.854,9.888,0,0,0
1.04,-0.841,-0.536,-0.078,-5.92,0.305,9.766,0,0,0
1.05,-0.835,-0.522,-0.075,-7.263,-0.61,9.705,0,0,0
1.06,-0.838,-0.521,-0.075,-7.019,-0.793,8.972,0,0,0
1.07,-0.82,-0.514,-0.066,-6.47,-1.221,7.08,0,0,0
1.08,-0.828,-0.519,-0.071,-6.226,-3.296,5.615,0,0,0
1.09,-0.827,-0.513,-0.074,-6.042,-3.784,3.357,0,0,0
1.1,-0.829,-0.513,-0.071,-5.432,-4.333,2.197,0,0,0
1.11,-0.835,-0.511,-0.076,-5.737,-5.066,0.671,0,0,0
1.12,-0.842,-0.501,-0.081,-6.409,-4.883,0.671,0,0,0
1.13,-0.833,-0.487,-0.082,-5.493,-4.089,0.732,0,0,0
1.14,-0.833,-0.486,-0.082,-4.456,-4.211,0.916,0,0,0
1.15,-0.847,-0.488,-0.088,-3.418,-4.517,1.587,0,0,0
1.16,-0.853,-0.481,-0.09,-2.075,-4.333,1.404,0,0,0
1.17,-0.854,-0.486,-0.09,-0.122,-3.784,1.526,0,0,0
1.18,-0.848,-0.487,-0.09,1.099,-3.296,1.648,0,0,0
1.19,-0.847,-0.493,-0.087,1.526,-3.113,1.221,0,0,0
1.2,-0.853,-0.496,-0.092,1.892,-2.869,0.305,0,0,0
1.21,-0.858,-0.495,-0.094,2.258,-1.77,-0.549,0,0,0
1.22,-0.862,-0.499,-0.097,2.502,-1.343,-1.709,0,0,0
1.23,-0.862,-0.496,-0.098,2.502,-0.732,-2.319,0,0,0
1.24,-0.859,-0.492,-0.093,2.869,-0.244,-3.296,0,0,0
1.25,-0.863,-0.489,-0.096,3.296,0,-2.808,0,0,0
1.26,-0.863,-0.494,-0.091,3.357,-0.183,-3.052,0,0,0
1.27,-0.864,-0.494,-0.095,3.052,-0.305,-3.113,0,0,0
1.28,-0.86,-0.496,-0.09,2.625,-0.549,-3.723,0,0,0
1.29,-0.858,-0.492,-0.091,1.648,-0.854,-4.089,0,0,0
1.3,-0.856,-0.494,-0.091,0.671,-1.343,-4.456,0,0,0
1.31,-0.857,-0.495,-0.089,0,-1.77,-3.967,0,0,0
1.32,-0.852,-0.486,-0.091,-1.038,-2.136,-4.822,0,0,0
1.33,-0.851,-0.467,-0.089,-1.953,-3.723,-4.15,0,0,0
1.34,-0.858,-0.459,-0.091,-1.648,-4.639,-2.686,0,0,0
1.35,-0.866,-0.46,-0.091,-0.122,-4.333,-1.404,0,0,0
1.36,-0.856,-0.463,-0.089,0.61,-4.028,-0.732,0,0,0
1.37,-0.862,-0.466,-0.093,1.038,-4.639,0.854,0,0,0
1.38,-0.857,-0.465,-0.094,1.526,-4.15,1.831,0,0,0
1.39,-0.862,-0.478,-0.097,1.953,-3.845,2.319,0,0,0
1.4,-0.867,-0.483,-0.098,1.892,-3.967,2.625,0,0,0
1.41,-0.858,-0.477,-0.097,1.465,-3.235,2.258,0,0,0
1.42,-0.861,-0.476,-0.102,1.831,-3.418,2.747,0,0,0
1.43,-0.855,-0.47,-0.096,1.77,-2.502,2.991,0,0,0
1.44,-0.861,-0.464,-0.1,2.075,-2.991,3.296,0,0,0
